code,stadium,lat,lon
BAL,Oriole Park at Camden Yards,39.283889,-76.621667
BOS,Fenway Park,42.346389,-71.0975
TBR,Tropicana Field,27.768333,-82.653333
TOR,Rogers Centre,43.641389,-79.389167
DET,Comerica Park,42.339167,-83.048611
MIN,Target Field,44.981667,-93.278333
HOU,Minute Maid Park,29.756944,-95.355556
LAA,Angel Stadium of Anaheim,33.800278,-117.882778
OAK,O.co Coliseum,37.751667,-122.200556
TEX,The Ballpark in Arlington,32.751389,-97.082778
SDP,Petco Park,32.7073,-117.1566
SFG,ATT Park,37.778611,-122.389167
